Date,Open,High,Low,Close,Volume
2023-08-07,129.1600,131.6100,129.0200,131.5300,22746290
2023-08-04,129.2800,131.5100,127.9100,128.1100,26147158
2023-08-03,127.9700,129.3850,127.4200,128.4500,20159528
2023-08-02,129.4500,130.0900,127.5600,128.3800,26273258
2023-08-01,130.7750,132.6300,130.6800,131.5500,23276440
2023-07-31,132.7300,133.5250,131.7750,132.7200,28055531
2023-07-28,130.7800,133.7400,130.5700,132.5800,36591158
2023-07-27,131.6700,133.2400,128.7900,129.4000,44952074
2023-07-26,130.0700,130.9800,128.3200,129.2700,61682093
2023-07-25,121.3600,123.1450,121.0200,122.2100,52509551
2023-07-24,121.6600,123.0000,120.9800,121.5300,29723667
2023-07-21,120.6200,120.9900,118.7300,120.0200,71606474
2023-07-20,121.4200,124.0900,118.2200,119.2000,37906763
2023-07-19,124.6000,125.1800,121.8000,122.0300,37224033
2023-07-18,124.6000,124.6800,122.9600,123.7600,26226447
2023-07-17,125.9400,127.0999,124.1950,124.6500,25716215
2023-07-14,124.8000,126.7750,123.4900,125.4200,33283076
2023-07-13,120.9300,124.8300,120.4500,124.5400,44297915
2023-07-12,118.8000,120.3300,118.4145,118.9300,30404409
2023-07-11,116.2900,117.7100,115.3500,117.1400,23078782
2023-07-10,118.3000,118.3050,116.1350,116.4500,35315235
2023-07-07,120.1000,121.0500,119.4000,119.4800,21709549
2023-07-06,119.7950,120.3000,118.4000,120.1100,24778801
2023-07-05,119.2400,122.6100,119.2300,121.7500,27584809
2023-07-03,119.2400,120.1900,118.8182,119.9000,14467850
2023-06-30,120.1700,121.0800,119.6900,119.7000,29532241
2023-06-29,119.2400,120.0600,118.2950,119.1000,24090902
2023-06-28,117.0900,120.3900,116.8500,120.1800,27091449
2023-06-27,117.0800,119.0800,116.1000,118.3300,39535936
2023-06-26,120.7600,122.0000,118.2650,118.3400,33969897
2023-06-23,121.3800,122.7879,121.0600,122.3400,34913637
2023-06-22,120.0000,123.2400,118.8300,123.1500,26952246
2023-06-21,122.4000,122.6600,120.1000,120.5500,30306336
2023-06-20,122.9300,124.5700,122.1400,123.1000,26097492
2023-06-16,125.9300,126.1080,123.2800,123.5300,45535553
2023-06-15,123.1400,125.4600,122.4000,125.0900,35246268
2023-06-14,123.1000,124.0500,121.4500,123.6700,30592297
2023-06-13,124.9800,125.1600,123.1800,123.8300,22278313
2023-06-12,122.7850,124.0500,121.6600,123.6400,28338743
2023-06-09,122.2500,123.7550,121.9100,122.2300,23778319
2023-06-08,122.2250,123.2250,121.2400,122.1400,29389167
2023-06-07,126.9700,129.0400,122.1200,122.5000,52538986
